song_no,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
158,0.51,0.388,7,-6.575,1,0.0559,0.844,0,0.153,0.56,106.501,0qAtbrY5DNGHtAl1L0CQzS,270440,3
159,0.416,0.389,9,-13.696,1,0.0385,0.672,0.38,0.205,0.295,168.897,4BWJGWmzbjsnA94Weyi5j4,110862,4
160,0.434,0.469,0,-10.685,0,0.165,0.809,0.000215,0.0856,0.143,136.745,4KfgBq7SrmjavjQS4ZQGHC,255720,4
161,0.636,0.474,5,-8.096,1,0.077,0.784,0.0613,0.113,0.571,167.064,0lO1yt6M1l1OAs80M3vEfM,194360,4
162,0.829,0.539,11,-7.359,0,0.208,0.136,1.78E-06,0.103,0.388,99.96,2ve5NyzWHUbIYxL33goCX7,149547,4
163,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,4VqTRBvYg0z8C4nsl4Hupy,157560,4
164,0.548,0.653,5,-3.875,1,0.081,0.456,0,0.103,0.163,150.068,5E1jEFXElio2eOxjJ3WLnk,174853,4
165,0.641,0.539,5,-6.351,0,0.0463,0.346,7.04E-06,0.0837,0.436,148.004,4fLnXd56RsWN4ZBtb9TegQ,286680,4
166,0.437,0.926,7,-9.758,1,0.0587,0.0113,0.791,0.0961,0.418,152.323,1vTCJDVG7OiYw7LLmxTzVG,322841,4
167,0.57,0.887,2,-1.089,1,0.0382,0.0365,5.21E-06,0.783,0.818,115.889,6n3hQsudILw9w3CqDwoO5M,157613,4
168,0.415,0.528,4,-7.564,1,0.0293,0.088,0.00595,0.0746,0.0479,105.217,1Hg2egRryMkCdXqXmXki3A,340253,4
169,0.672,0.974,10,-5.604,0,0.113,0.0436,0.654,0.828,0.296,102.129,53zw51qaLzcX7kOTlUqAqG,152533,4
170,0.602,0.921,7,-4.633,1,0.0604,0.00042,0.000272,0.0983,0.545,108.692,0fpS77hc2BzBG8aFUvH1I9,193400,4
171,0.649,0.794,7,-8.597,1,0.0352,0.153,0.533,0.0724,0.253,104.7,7pu0pLvgwopOa7lp2OBXep,258133,4
172,0.58,0.982,4,-3.428,0,0.0729,0.00696,4.82E-06,0.165,0.51,98.189,75Wz8eZhn2xBHFUGyJgHQP,252307,4
173,0.565,0.897,1,-6.319,1,0.111,0.000571,0.000879,0.646,0.601,150.356,0HIHiUyybKHO5mHVC2oDb0,206347,4
174,0.757,0.978,5,-3.749,0,0.215,0.0446,0.000796,0.0355,0.539,93.646,3iuI6EUfAii8fX9RKaVhuC,109493,4
175,0.574,0.925,6,-2.766,0,0.0463,0.00164,0.0243,0.115,0.369,125.501,6i99ThziImjuFABb8rUQvy,243333,4
176,0.521,0.446,0,-7.696,1,0.0354,0.827,0.000102,0.343,0.33,113.78,1k4OsQujxXPLij0ZsTFlMx,203667,4
177,0.446,0.59,0,-4.713,1,0.0289,0.397,0.726,0.0361,0.538,137.996,53lAf9NkMQojiF7i9uWGm7,258733,3
178,0.223,0.492,4,-7.208,0,0.0352,0.147,0.63,0.0927,0.19,132.477,3PFfoQq1grPcfTSW2eTAJb,262920,4
179,0.361,0.934,4,-1.734,1,0.0575,0.0134,0.000206,0.114,0.739,119.615,1YQqbxv6NvivmxPG8mLszw,157067,4
180,0.247,0.832,1,-4.6,1,0.0449,0.0897,0.0037,0.331,0.648,140.428,4dNrdqaxJWKeW6IMqnwkFw,200481,4
181,0.504,0.671,3,-5.792,1,0.0271,0.0343,0,0.309,0.447,105.957,5OrwxmwjaO9p2iyF8BXyRj,387170,4
182,0.491,0.583,7,-10.964,1,0.0376,0.182,0,0.407,0.907,150.572,3yrSvpt2l1xhsV9Em88Pul,183307,4
183,0.454,0.498,5,-12.541,1,0.0303,0.457,0.342,0.16,0.673,98.092,1Wxc6Mf0dEYXt98cnb6UH6,260640,3
184,0.795,0.18,0,-12.293,1,0.0608,0.59,0,0.621,0.611,94.02,1pV9TLnQdOHbvourRO7x4m,181613,4
185,0.789,0.864,5,-3.43,0,0.171,0.0215,0,0.105,0.894,162.073,7qyNvzfyTZ4AWUmBwQEylJ,218920,4
186,0.678,0.662,1,-6.473,1,0.3,0.0123,0,0.133,0.498,80.318,2Kn3xgaDCM4aHuHK7FApgC,234160,4
187,0.776,0.562,9,-6.901,1,0.363,0.0399,0,0.138,0.521,169.03,2QbGvQssb0VLLS4x5NOmyJ,147867,4
188,0.484,0.913,6,-4.305,1,0.0425,0.000391,0,0.309,0.279,103.103,7MfJVe7of8qWEMcCwQnAvS,191440,4
189,0.555,0.844,3,-6.567,0,0.0554,0.00834,0,0.0895,0.464,105.195,3tSmXSxaAnU1EPGKa6NytH,216800,4
190,0.615,0.947,8,-3.817,0,0.11,0.0132,0,0.366,0.498,108.193,5kBkdxl6uRdwtsGTONJa0z,194427,4
